Eigenvalue(e   Real(S_x)   Imag(S_x)    Abs(S_x)   Real(S_y)   Imag(S_y)    Abs(S_y)   Real(S_z)   Imag(S_z)    Abs(S_z)
    9.600076    1.406664    1.630780    2.153636   -0.000006   -0.000007    0.000009   -0.000058   -0.000068    0.000089
    9.600105   -0.000008   -0.000002    0.000008   -2.100642   -0.464314    2.151345    0.017617   -0.008412    0.019522
    9.600117    0.000089   -0.000004    0.000090    0.015890    0.011273    0.019483    2.149166   -0.098655    2.151429
    9.629832    0.000000   -0.000000    0.000000    0.000003    0.000006    0.000007    0.000007    0.000004    0.000009
    9.629840    0.000002   -0.000002    0.000003   -0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
    9.629841    0.000000    0.000000    0.000000    0.000003    0.000008    0.000009   -0.000005   -0.000004    0.000007
    9.664695    0.000000   -0.000000    0.000000    0.000003    0.000000    0.000003    0.000008   -0.000004    0.000009
    9.664702   -0.000000   -0.000000    0.000000   -0.000009   -0.000001    0.000009    0.000003   -0.000001    0.000003
    9.664703   -0.000004    0.000004    0.000006    0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
    9.697899   -0.000003   -0.000001    0.000003    0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    9.697919    0.000002    0.000001    0.000002   -0.000000    0.000000    0.000000    0.000000   -0.000000    0.000000
    9.743768   -0.000001   -0.000002    0.000003   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
    9.863929   -0.000000   -0.000000    0.000000    0.000014   -0.000040    0.000042   -0.000226   -0.000640    0.000678
    9.863930   -0.000000    0.000000    0.000000    0.000154   -0.000623    0.000642    0.000002    0.000009    0.000009
    9.863942    0.000036    0.000048    0.000060    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000
    9.886188    0.000019   -0.000000    0.000019   -0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000000
    9.886198    0.000001    0.000001    0.000001    0.000000    0.000000    0.000000   -0.000000    0.000000    0.000000
    9.901100    1.616953    0.668635    1.749746    0.000144    0.000063    0.000157   -0.000278   -0.000114    0.000300
    9.901108    0.000049   -0.000152    0.000160   -0.590177    1.646620    1.749191   -0.005656   -0.015010    0.016040
    9.901116    0.000275   -0.000119    0.000299    0.015326    0.004648    0.016016    1.604069   -0.697219    1.749043
    9.917909    0.000000    0.000000    0.000000   -0.000000   -0.000000    0.000000    0.000000    0.000000    0.000000
    9.917921    0.000000   -0.000000    0.000000   -0.000000   -0.000000    0.000001    0.000000    0.000000    0.000000
    9.930162   -0.000002   -0.000001    0.000002   -0.000000    0.000000    0.000000    0.000000    0.000000    0.000000
    9.930166    0.000000   -0.000000    0.000000    0.000001    0.000002    0.000002    0.000002    0.000002    0.000003
    9.930166    0.000000    0.000000    0.000000    0.000001    0.000002    0.000003   -0.000002   -0.000001    0.000002
    9.939681   -0.000000    0.000000    0.000000   -0.000003   -0.000003    0.000004   -0.000014   -0.000003    0.000014
    9.939684   -0.000000   -0.000000    0.000000   -0.000012   -0.000008    0.000014    0.000004   -0.000000    0.000004
